"Time (s)","Period (s)","Frequency (Hz)"
0.000000000E0,NaN,NaN
2.332634600E-2,NaN,NaN
3.638511500E-2,NaN,NaN
4.718365300E-2,NaN,NaN
5.819530700E-2,NaN,NaN
6.874849900E-2,NaN,NaN
7.932738400E-2,NaN,NaN
8.993692300E-2,NaN,NaN
1.007427300E-1,NaN,NaN
1.114732690E-1,NaN,NaN
1.221511530E-1,NaN,NaN
1.333576530E-1,NaN,NaN
1.465215380E-1,NaN,NaN
1.632920760E-1,NaN,NaN
1.770483840E-1,NaN,NaN
2.144469990E-1,1.043841336E-4,9.580000000E3
2.772226150E-1,6.764091858E-3,1.478395062E2
3.130804610E-1,NaN,NaN
3.296974990E-1,7.286012526E-3,1.372492837E2
3.466887300E-1,7.286012526E-3,1.372492837E2
3.953999990E-1,5.219206681E-4,1.916000000E3
4.329110380E-1,4.175365344E-3,2.395000000E2
4.519904990E-1,4.279749478E-3,2.336585366E2
5.717041910E-1,NaN,NaN
5.862781140E-1,NaN,NaN
5.987228840E-1,NaN,NaN
6.149084610E-1,NaN,NaN
6.304419220E-1,NaN,NaN
6.473267680E-1,NaN,NaN
6.768442300E-1,NaN,NaN
7.387105370E-1,NaN,NaN
7.539865370E-1,NaN,NaN
8.282452300E-1,NaN,NaN
8.440186910E-1,NaN,NaN
8.906794990E-1,NaN,NaN
9.053236530E-1,NaN,NaN
9.177613830E-1,NaN,NaN
1.009631345E0,NaN,NaN
1.023101076E0,NaN,NaN
1.035037960E0,NaN,NaN
1.049063806E0,NaN,NaN
1.062804460E0,NaN,NaN
1.074881306E0,NaN,NaN
1.089068230E0,NaN,NaN
1.102853499E0,NaN,NaN
1.115026883E0,4.885177453E-3,2.047008547E2
1.129663729E0,NaN,NaN
1.143512922E0,NaN,NaN
1.215692306E0,3.862212944E-3,2.589189189E2
1.260878729E0,NaN,NaN
1.294375960E0,NaN,NaN
1.314218191E0,NaN,NaN
1.336333614E0,5.177453027E-3,1.931451613E2
1.396937922E0,4.154488518E-3,2.407035176E2
1.493973845E0,7.453027140E-3,1.341736695E2
1.548987998E0,4.363256785E-3,2.291866029E2
1.566693037E0,4.363256785E-3,2.291866029E2
1.582245845E0,4.070981211E-3,2.456410256E2
1.619323383E0,4.321503132E-3,2.314009662E2
1.637275306E0,7.411273486E-3,1.349295775E2
1.654522498E0,5.052192067E-3,1.979338843E2
1.687802383E0,4.384133612E-3,2.280952381E2
1.705948075E0,4.384133612E-3,2.280952381E2
1.718369383E0,4.091858038E-3,2.443877551E2
1.733006614E0,7.139874739E-3,1.400584795E2
1.750301768E0,5.240083507E-3,1.908366534E2
1.766249960E0,5.240083507E-3,1.908366534E2
1.780060806E0,4.091858038E-3,2.443877551E2
1.817974037E0,4.592901879E-3,2.177272727E2
1.836321460E0,4.091858038E-3,2.443877551E2
1.856267767E0,3.862212944E-3,2.589189189E2
1.875463690E0,3.716075157E-3,2.691011236E2
1.911230037E0,3.027139875E-3,3.303448276E2
1.927387960E0,3.027139875E-3,3.303448276E2
1.940830729E0,4.530271399E-3,2.207373272E2
1.974914113E0,4.300626305E-3,2.325242718E2
1.991696537E0,NaN,NaN
2.006145844E0,NaN,NaN
2.032600921E0,NaN,NaN
2.046472498E0,NaN,NaN
2.099311652E0,NaN,NaN
2.178547767E0,NaN,NaN
2.192712344E0,NaN,NaN
2.206530536E0,NaN,NaN
2.275562767E0,5.803757829E-3,1.723021583E2
2.287321844E0,5.803757829E-3,1.723021583E2
2.360182652E0,NaN,NaN
2.409804844E0,NaN,NaN
2.425154152E0,NaN,NaN
2.458810382E0,NaN,NaN
2.495396498E0,NaN,NaN
2.510053344E0,NaN,NaN
2.525671844E0,NaN,NaN
2.538909036E0,NaN,NaN
2.554146113E0,NaN,NaN
2.569806459E0,5.198329854E-3,1.923694779E2
2.585318152E0,5.198329854E-3,1.923694779E2
2.598606267E0,NaN,NaN
2.614250152E0,NaN,NaN
2.668253113E0,NaN,NaN
2.681619882E0,NaN,NaN
2.693898959E0,NaN,NaN
2.708613075E0,NaN,NaN
2.723067998E0,NaN,NaN
2.735854382E0,NaN,NaN
2.749844805E0,NaN,NaN
2.763347459E0,NaN,NaN
2.789303344E0,6.680584551E-3,1.496875000E2
2.803267767E0,6.680584551E-3,1.496875000E2
2.815596267E0,NaN,NaN
2.854951382E0,NaN,NaN
2.916146421E0,NaN,NaN
2.978282074E0,NaN,NaN
3.011261959E0,NaN,NaN
3.026222497E0,NaN,NaN
3.055148228E0,NaN,NaN
3.117734920E0,NaN,NaN
3.133002997E0,4.425887265E-3,2.259433962E2
3.195623843E0,3.736951983E-3,2.675977654E2
3.212855228E0,4.300626305E-3,2.325242718E2
3.228957190E0,5.386221294E-3,1.856589147E2
3.244856497E0,5.386221294E-3,1.856589147E2
3.320422151E0,5.156576200E-3,1.939271255E2
3.357184805E0,5.010438413E-3,1.995833333E2
3.374769266E0,5.093945720E-3,1.963114754E2
3.419984959E0,7.056367432E-3,1.417159763E2
3.436998151E0,5.177453027E-3,1.931451613E2
3.453860074E0,3.945720251E-3,2.534391534E2
3.470468228E0,6.910229645E-3,1.447129909E2
3.486502074E0,6.910229645E-3,1.447129909E2
3.499925343E0,5.114822547E-3,1.955102041E2
3.536608959E0,6.430062630E-3,1.555194805E2
3.573200535E0,5.574112735E-3,1.794007491E2
3.587943843E0,5.010438413E-3,1.995833333E2
3.604222343E0,5.010438413E-3,1.995833333E2
3.618050074E0,4.822546973E-3,2.073593074E2
3.634972574E0,4.467640919E-3,2.238317757E2
3.652424997E0,4.655532359E-3,2.147982063E2
3.700137728E0,7.411273486E-3,1.349295775E2
3.735530266E0,4.697286013E-3,2.128888889E2
3.750718997E0,4.008350731E-3,2.494791667E2
3.766333766E0,4.008350731E-3,2.494791667E2
3.796374343E0,8.350730689E-4,1.197500000E3
3.811471189E0,NaN,NaN
3.826306343E0,NaN,NaN
3.838519535E0,5.323590814E-3,1.878431373E2
4.016511458E0,NaN,NaN
4.034875497E0,NaN,NaN
4.054295766E0,NaN,NaN
4.073734497E0,NaN,NaN
4.091400881E0,NaN,NaN
4.140150227E0,3.027139875E-3,3.303448276E2
4.172877958E0,NaN,NaN
4.188002804E0,NaN,NaN
4.218653227E0,1.398747390E-3,7.149253731E2
4.235549343E0,3.006263048E-3,3.326388889E2
4.298808535E0,2.379958246E-3,4.201754386E2
4.332007112E0,3.235908142E-3,3.090322581E2
4.349278150E0,5.323590814E-3,1.878431373E2
4.366833650E0,5.323590814E-3,1.878431373E2
4.380166919E0,NaN,NaN
4.396488189E0,2.818371608E-3,3.548148148E2
4.431125958E0,2.901878914E-3,3.446043165E2
4.447535919E0,2.901878914E-3,3.446043165E2
4.497009035E0,NaN,NaN
4.515686919E0,NaN,NaN
4.534621573E0,4.592901879E-3,2.177272727E2
4.553781419E0,NaN,NaN
4.573161765E0,NaN,NaN
4.591702804E0,4.864300626E-3,2.055793991E2
4.656083381E0,NaN,NaN
4.671781688E0,5.929018789E-3,1.686619718E2
4.689912073E0,NaN,NaN
4.705934188E0,NaN,NaN
4.718220304E0,NaN,NaN
4.773917419E0,NaN,NaN
4.787875035E0,NaN,NaN
4.801580573E0,NaN,NaN
4.829645727E0,NaN,NaN
4.842832996E0,NaN,NaN
4.914553342E0,NaN,NaN
4.930335265E0,4.968684760E-3,2.012605042E2
4.947041265E0,4.968684760E-3,2.012605042E2
4.960232958E0,NaN,NaN
4.976534150E0,2.797494781E-3,3.574626866E2
5.012065381E0,NaN,NaN
5.139037727E0,5.073068894E-3,1.971193416E2
5.155988842E0,5.198329854E-3,1.923694779E2
5.296023880E0,1.503131524E-3,6.652777778E2
5.309111303E0,1.503131524E-3,6.652777778E2
5.321272457E0,4.070981211E-3,2.456410256E2
5.375733380E0,4.530271399E-3,2.207373272E2
5.389901650E0,1.356993737E-3,7.369230769E2
5.403402765E0,1.356993737E-3,7.369230769E2
5.415373726E0,6.847599165E-3,1.460365854E2
5.430448188E0,4.070981211E-3,2.456410256E2
5.507585957E0,4.342379958E-3,2.302884615E2
5.521461919E0,4.342379958E-3,2.302884615E2
5.560619111E0,7.494780793E-3,1.334261838E2
5.610406419E0,NaN,NaN
5.625639534E0,NaN,NaN
5.655011688E0,7.014613779E-3,1.425595238E2
5.673350495E0,4.029227557E-3,2.481865285E2
5.690390380E0,4.864300626E-3,2.055793991E2
5.706979303E0,4.864300626E-3,2.055793991E2
5.738907995E0,4.530271399E-3,2.207373272E2
5.755140072E0,4.572025052E-3,2.187214612E2
5.771430457E0,5.302713987E-3,1.885826772E2
5.819065226E0,NaN,NaN
5.871501688E0,6.764091858E-3,1.478395062E2
5.889580111E0,NaN,NaN
5.905250688E0,NaN,NaN
5.918031957E0,NaN,NaN
5.935986995E0,7.098121086E-3,1.408823529E2
5.952859918E0,NaN,NaN
6.016495264E0,NaN,NaN
6.032641918E0,6.701461378E-3,1.492211838E2
6.050325341E0,NaN,NaN
6.067252264E0,NaN,NaN
6.114578803E0,NaN,NaN
6.159791303E0,NaN,NaN
6.195270880E0,6.200417537E-3,1.612794613E2
6.212313687E0,NaN,NaN
6.335147880E0,NaN,NaN
6.350321072E0,NaN,NaN
6.365810187E0,NaN,NaN
6.433017495E0,5.949895616E-3,1.680701754E2
6.451386264E0,NaN,NaN
6.468972956E0,NaN,NaN
6.486386726E0,NaN,NaN
6.516592264E0,NaN,NaN
6.533681841E0,NaN,NaN
6.551533956E0,NaN,NaN
6.600801572E0,NaN,NaN
6.617999495E0,NaN,NaN
6.683760610E0,3.340292276E-3,2.993750000E2
6.702959149E0,NaN,NaN
6.718791033E0,NaN,NaN
6.735288110E0,3.966597077E-3,2.521052632E2
6.798985495E0,NaN,NaN
6.816175302E0,NaN,NaN
6.832981148E0,NaN,NaN
6.869083841E0,NaN,NaN
6.887497687E0,NaN,NaN
6.901832418E0,NaN,NaN
6.921801110E0,NaN,NaN
6.939982802E0,NaN,NaN
6.978227033E0,7.453027140E-3,1.341736695E2
6.992563110E0,NaN,NaN
7.007488687E0,NaN,NaN
7.020535456E0,3.089770355E-3,3.236486486E2
7.056045418E0,7.473903967E-3,1.337988827E2
7.090808187E0,NaN,NaN
7.107040341E0,NaN,NaN
7.119678725E0,NaN,NaN
7.136328956E0,NaN,NaN
7.153832802E0,NaN,NaN
7.188673802E0,NaN,NaN
7.203646994E0,NaN,NaN
7.232329417E0,NaN,NaN
7.280026687E0,NaN,NaN
7.297252840E0,NaN,NaN
7.349779687E0,NaN,NaN
7.366651379E0,NaN,NaN
7.397813379E0,NaN,NaN
7.434775033E0,7.390396660E-3,1.353107345E2
7.471137648E0,NaN,NaN
7.488998148E0,NaN,NaN
7.506484956E0,NaN,NaN
7.519134610E0,NaN,NaN
7.536591379E0,NaN,NaN
